SF,precision,recall,f1-score,support
1.10.10.10,0.9512195121951219,0.9936305732484076,0.9719626168224299,157.0
1.10.10.1100,1.0,1.0,1.0,2.0
1.10.10.1230,1.0,0.0,0.0,1.0
1.10.10.1270,1.0,1.0,1.0,1.0
1.10.10.1320,1.0,1.0,1.0,2.0
1.10.10.1350,1.0,0.0,0.0,1.0
1.10.10.1410,1.0,1.0,1.0,2.0
1.10.10.160,0.13333333333333333,1.0,0.23529411764705882,2.0
1.10.10.1740,1.0,1.0,1.0,1.0
1.10.10.1800,1.0,1.0,1.0,2.0
1.10.10.1920,1.0,0.0,0.0,1.0
1.10.10.200,1.0,1.0,1.0,1.0
1.10.10.2240,1.0,0.0,0.0,1.0
1.10.10.250,1.0,1.0,1.0,2.0
1.10.10.2690,1.0,1.0,1.0,1.0
1.10.10.2830,1.0,1.0,1.0,2.0
1.10.10.350,1.0,1.0,1.0,2.0
1.10.10.390,1.0,0.0,0.0,1.0
1.10.10.400,1.0,0.5,0.6666666666666666,2.0
1.10.10.410,1.0,1.0,1.0,1.0
1.10.10.440,1.0,1.0,1.0,5.0
1.10.10.520,1.0,0.0,0.0,1.0
1.10.10.540,1.0,0.0,0.0,1.0
1.10.10.580,1.0,1.0,1.0,1.0
1.10.10.60,0.9512195121951219,0.8125,0.8764044943820225,48.0
1.10.10.650,1.0,1.0,1.0,1.0
1.10.10.750,1.0,1.0,1.0,1.0
1.10.10.790,1.0,1.0,1.0,2.0
1.10.10.820,0.5,1.0,0.6666666666666666,1.0
1.10.10.900,1.0,1.0,1.0,1.0
1.10.100.10,0.5,1.0,0.6666666666666666,1.0
1.10.101.10,1.0,1.0,1.0,2.0
1.10.1040.10,1.0,0.9090909090909091,0.9523809523809523,11.0
1.10.1040.20,1.0,1.0,1.0,1.0
1.10.1040.30,1.0,0.0,0.0,1.0
1.10.1050.10,1.0,0.0,0.0,1.0
1.10.1060.10,0.5,1.0,0.6666666666666666,1.0
1.10.1070.11,1.0,1.0,1.0,1.0
1.10.1080.10,1.0,0.0,0.0,1.0
1.10.110.10,1.0,1.0,1.0,4.0
1.10.110.30,1.0,0.0,0.0,1.0
1.10.1130.10,1.0,0.5,0.6666666666666666,2.0
1.10.1140.10,1.0,1.0,1.0,1.0
1.10.1160.10,1.0,0.0,0.0,1.0
1.10.1170.10,1.0,1.0,1.0,1.0
1.10.12.10,0.9230769230769231,0.8,0.8571428571428571,15.0
1.10.12.70,0.5,1.0,0.6666666666666666,1.0
1.10.1200.10,1.0,1.0,1.0,11.0
1.10.1200.210,1.0,0.0,0.0,1.0
1.10.1200.270,0.5,1.0,0.6666666666666666,1.0
1.10.1200.30,1.0,1.0,1.0,1.0
1.10.1220.10,1.0,0.8571428571428571,0.9230769230769231,14.0
1.10.1240.10,0.5,0.5,0.5,2.0
1.10.1240.20,1.0,0.0,0.0,1.0
1.10.1240.30,1.0,1.0,1.0,1.0
1.10.1240.50,1.0,1.0,1.0,1.0
1.10.1270.10,1.0,1.0,1.0,1.0
1.10.1270.20,1.0,0.0,0.0,1.0
1.10.1280.10,0.3333333333333333,1.0,0.5,1.0
1.10.132.10,1.0,0.0,0.0,1.0
1.10.132.100,1.0,0.5,0.6666666666666666,2.0
1.10.132.20,1.0,0.0,0.0,1.0
1.10.132.30,1.0,1.0,1.0,1.0
1.10.132.60,1.0,1.0,1.0,2.0
1.10.132.70,1.0,0.0,0.0,2.0
1.10.1330.10,1.0,1.0,1.0,2.0
1.10.1370.30,1.0,1.0,1.0,1.0
1.10.1380.10,0.14285714285714285,1.0,0.25,1.0
1.10.1390.10,1.0,1.0,1.0,2.0
1.10.1400.10,1.0,1.0,1.0,2.0
1.10.1410.10,0.6666666666666666,1.0,0.8,2.0
1.10.1410.40,1.0,1.0,1.0,2.0
1.10.1420.10,0.6,1.0,0.75,3.0
1.10.1450.10,1.0,1.0,1.0,1.0
1.10.150.110,1.0,1.0,1.0,2.0
1.10.150.120,1.0,0.0,0.0,1.0
1.10.150.130,1.0,1.0,1.0,8.0
1.10.150.190,0.5,1.0,0.6666666666666666,1.0
1.10.150.20,0.8235294117647058,0.9333333333333333,0.875,15.0
1.10.150.210,1.0,1.0,1.0,1.0
1.10.150.240,0.6296296296296297,1.0,0.7727272727272727,17.0
1.10.150.250,1.0,1.0,1.0,1.0
1.10.150.300,1.0,1.0,1.0,1.0
1.10.150.320,1.0,1.0,1.0,1.0
1.10.150.480,1.0,1.0,1.0,1.0
1.10.150.50,1.0,1.0,1.0,15.0
1.10.150.60,1.0,1.0,1.0,1.0
1.10.150.650,0.3333333333333333,1.0,0.5,1.0
1.10.150.80,1.0,0.8,0.8888888888888888,5.0
1.10.150.90,1.0,0.0,0.0,2.0
1.10.1520.10,1.0,1.0,1.0,3.0
1.10.1530.10,1.0,1.0,1.0,2.0
1.10.1580.10,1.0,1.0,1.0,1.0
1.10.1600.10,1.0,1.0,1.0,1.0
1.10.1610.10,0.0,0.0,0.0,1.0
1.10.1660.10,0.6666666666666666,1.0,0.8,2.0
1.10.167.10,1.0,1.0,1.0,4.0
1.10.1670.10,0.5,0.5,0.5,4.0
1.10.1670.40,1.0,0.0,0.0,1.0
1.10.168.10,1.0,0.0,0.0,1.0
1.10.1710.10,0.3333333333333333,1.0,0.5,1.0
1.10.1740.10,1.0,0.8,0.8888888888888888,5.0
1.10.1740.100,1.0,1.0,1.0,1.0
1.10.1760.20,1.0,1.0,1.0,4.0
1.10.1780.10,0.75,1.0,0.8571428571428571,3.0
1.10.1790.10,1.0,1.0,1.0,2.0
1.10.1900.10,1.0,1.0,1.0,1.0
1.10.20.10,1.0,0.9166666666666666,0.9565217391304348,12.0
1.10.20.140,1.0,1.0,1.0,1.0
1.10.20.60,1.0,1.0,1.0,3.0
1.10.2000.10,1.0,1.0,1.0,1.0
1.10.2020.10,1.0,0.0,0.0,2.0
1.10.220.10,1.0,1.0,1.0,6.0
1.10.220.20,1.0,1.0,1.0,1.0
1.10.220.30,0.3333333333333333,1.0,0.5,1.0
1.10.225.10,1.0,1.0,1.0,4.0
1.10.230.10,1.0,1.0,1.0,1.0
1.10.238.10,0.9393939393939394,0.96875,0.9538461538461539,32.0
1.10.238.20,0.8571428571428571,1.0,0.9230769230769231,6.0
1.10.240.10,0.75,1.0,0.8571428571428571,3.0
1.10.245.10,1.0,1.0,1.0,1.0
1.10.246.10,1.0,1.0,1.0,4.0
1.10.246.120,0.5,1.0,0.6666666666666666,1.0
1.10.246.190,1.0,0.0,0.0,1.0
1.10.246.20,1.0,1.0,1.0,2.0
1.10.246.80,1.0,1.0,1.0,1.0
1.10.246.90,1.0,1.0,1.0,1.0
1.10.260.100,1.0,1.0,1.0,2.0
1.10.260.40,0.9655172413793104,1.0,0.9824561403508771,28.0
1.10.268.10,1.0,1.0,1.0,1.0
1.10.274.100,1.0,1.0,1.0,1.0
1.10.274.20,0.6666666666666666,1.0,0.8,2.0
1.10.274.60,0.3333333333333333,1.0,0.5,1.0
1.10.274.70,1.0,0.0,0.0,1.0
1.10.275.10,1.0,1.0,1.0,4.0
1.10.275.30,1.0,0.0,0.0,1.0
1.10.285.20,1.0,0.0,0.0,1.0
1.10.286.10,1.0,1.0,1.0,1.0
1.10.286.20,1.0,1.0,1.0,1.0
1.10.286.40,1.0,0.0,0.0,1.0
1.10.286.70,1.0,0.0,0.0,1.0
1.10.287.10,0.5,0.25,0.3333333333333333,4.0
1.10.287.100,0.6,0.6,0.6,5.0
1.10.287.1050,1.0,1.0,1.0,1.0
1.10.287.1060,0.625,0.7142857142857143,0.6666666666666666,7.0
1.10.287.1080,1.0,1.0,1.0,4.0
1.10.287.110,1.0,1.0,1.0,4.0
1.10.287.1120,1.0,1.0,1.0,1.0
1.10.287.1130,1.0,0.0,0.0,2.0
1.10.287.1240,1.0,1.0,1.0,1.0
1.10.287.1250,1.0,0.0,0.0,1.0
1.10.287.1260,1.0,1.0,1.0,1.0
1.10.287.1270,1.0,0.0,0.0,1.0
1.10.287.130,1.0,1.0,1.0,6.0
1.10.287.1490,0.1111111111111111,1.0,0.2,1.0
1.10.287.150,1.0,0.0,0.0,1.0
1.10.287.160,1.0,0.0,0.0,3.0
1.10.287.1700,1.0,0.5,0.6666666666666666,2.0
1.10.287.1770,0.6,1.0,0.75,3.0
1.10.287.180,1.0,1.0,1.0,1.0
1.10.287.210,1.0,0.75,0.8571428571428571,4.0
1.10.287.2110,1.0,0.0,0.0,1.0
1.10.287.2250,1.0,1.0,1.0,1.0
1.10.287.2460,1.0,0.0,0.0,1.0
1.10.287.260,1.0,0.0,0.0,1.0
1.10.287.2900,1.0,1.0,1.0,1.0
1.10.287.310,1.0,1.0,1.0,1.0
1.10.287.3280,1.0,0.0,0.0,1.0
1.10.287.3290,1.0,0.0,0.0,1.0
1.10.287.3440,1.0,1.0,1.0,1.0
1.10.287.3490,1.0,1.0,1.0,1.0
1.10.287.3510,1.0,1.0,1.0,2.0
1.10.287.370,0.3333333333333333,1.0,0.5,1.0
1.10.287.380,1.0,1.0,1.0,1.0
1.10.287.3810,1.0,1.0,1.0,1.0
1.10.287.3980,1.0,1.0,1.0,1.0
1.10.287.40,1.0,1.0,1.0,2.0
1.10.287.450,1.0,1.0,1.0,1.0
1.10.287.470,0.0,0.0,0.0,3.0
1.10.287.520,0.5,1.0,0.6666666666666666,1.0
1.10.287.540,1.0,0.4,0.5714285714285714,5.0
1.10.287.580,1.0,1.0,1.0,1.0
1.10.287.600,1.0,0.0,0.0,1.0
1.10.287.610,0.6666666666666666,1.0,0.8,2.0
1.10.287.630,1.0,1.0,1.0,1.0
1.10.287.650,1.0,0.6666666666666666,0.8,3.0
1.10.287.660,1.0,0.0,0.0,4.0
1.10.287.670,1.0,0.0,0.0,2.0
1.10.287.690,1.0,1.0,1.0,3.0
1.10.287.70,0.875,1.0,0.9333333333333333,7.0
1.10.287.730,1.0,0.0,0.0,1.0
1.10.287.770,0.5,0.3333333333333333,0.4,3.0
1.10.287.80,0.6666666666666666,1.0,0.8,2.0
1.10.287.810,1.0,1.0,1.0,2.0
1.10.287.830,1.0,1.0,1.0,1.0
1.10.287.850,1.0,0.0,0.0,1.0
1.10.287.890,1.0,1.0,1.0,1.0
1.10.287.90,1.0,1.0,1.0,2.0
1.10.287.990,1.0,0.0,0.0,1.0
1.10.290.10,1.0,1.0,1.0,1.0
1.10.30.10,1.0,1.0,1.0,5.0
1.10.3020.10,0.3333333333333333,0.5,0.4,2.0
1.10.3060.10,1.0,1.0,1.0,1.0
1.10.3090.10,0.6666666666666666,1.0,0.8,2.0
1.10.3100.10,1.0,1.0,1.0,1.0
1.10.3110.10,1.0,0.5,0.6666666666666666,2.0
1.10.3120.10,1.0,1.0,1.0,2.0
1.10.3130.10,1.0,0.5,0.6666666666666666,2.0
1.10.3160.10,1.0,0.0,0.0,2.0
1.10.3210.10,0.8888888888888888,1.0,0.9411764705882353,8.0
1.10.3210.30,1.0,1.0,1.0,1.0
1.10.3260.10,1.0,1.0,1.0,1.0
1.10.3290.10,1.0,1.0,1.0,2.0
1.10.3350.10,1.0,0.0,0.0,1.0
1.10.3380.30,1.0,1.0,1.0,1.0
1.10.340.30,1.0,0.8,0.8888888888888888,5.0
1.10.340.70,1.0,1.0,1.0,1.0
1.10.3420.10,1.0,1.0,1.0,1.0
1.10.3430.10,1.0,1.0,1.0,1.0
1.10.3450.10,1.0,1.0,1.0,1.0
1.10.3480.10,0.5,1.0,0.6666666666666666,1.0
1.10.3500.10,1.0,0.0,0.0,1.0
1.10.3520.10,1.0,1.0,1.0,1.0
1.10.3550.10,1.0,1.0,1.0,1.0
1.10.357.10,0.9111111111111111,1.0,0.9534883720930233,41.0
